# Adobe Acrobat Reader
.pdf, Acrobat.Document.DC
.pdfxml, Acrobat.pdfxml
.acrobatsecuritysettings, Acrobat.acrobatsecuritysettings
.fdf, Acrobat.FDFDoc
.xfdf, Acrobat.XFDFDoc
.xdp, Acrobat.XDPDoc
.pdx, PDXFileType
.api, Acrobat.Plugin
.secstore, Acrobat.SecStore
.sequ, Acrobat.Sequence
.rmf, Acrobat.RMFFile
.bpdx, AcrobatBPDXFileType
# Image Glass
.b64, ImageGlass.AssocFile.B64
.bay, ImageGlass.AssocFile.BAY
.bmp, ImageGlass.AssocFile.BMP
.cap, ImageGlass.AssocFile.CAP
.cr2, ImageGlass.AssocFile.CR2
.crw, ImageGlass.AssocFile.CRW
.cur, ImageGlass.AssocFile.CUR
.cut, ImageGlass.AssocFile.CUT
.dcr, ImageGlass.AssocFile.DCR
.dcs, ImageGlass.AssocFile.DCS
.dds, ImageGlass.AssocFile.DDS
.dib, ImageGlass.AssocFile.DIB
.dng, ImageGlass.AssocFile.DNG
.drf, ImageGlass.AssocFile.DRF
.eip, ImageGlass.AssocFile.EIP
.emf, ImageGlass.AssocFile.EMF
.erf, ImageGlass.AssocFile.ERF
.exif, ImageGlass.AssocFile.EXIF
.exr, ImageGlass.AssocFile.EXR
.fff, ImageGlass.AssocFile.FFF
.gif, ImageGlass.AssocFile.GIF
.gpr, ImageGlass.AssocFile.GPR
.hdr, ImageGlass.AssocFile.HDR
.heic, ImageGlass.AssocFile.HEIC
.ico, ImageGlass.AssocFile.ICO
.iiq, ImageGlass.AssocFile.IIQ
.jfif, ImageGlass.AssocFile.JFIF
.jpe, ImageGlass.AssocFile.JPE
.jpeg, ImageGlass.AssocFile.JPEG
.jpg, ImageGlass.AssocFile.JPG
.jxr, ImageGlass.AssocFile.JXR
.k25, ImageGlass.AssocFile.K25
.kdc, ImageGlass.AssocFile.KDC
.mdc, ImageGlass.AssocFile.MDC
.mef, ImageGlass.AssocFile.MEF
.mos, ImageGlass.AssocFile.MOS
.mrw, ImageGlass.AssocFile.MRW
.nef, ImageGlass.AssocFile.NEF
.nrw, ImageGlass.AssocFile.NRW
.orf, ImageGlass.AssocFile.ORF
.pbm, ImageGlass.AssocFile.PBM
.pcx, ImageGlass.AssocFile.PCX
.pef, ImageGlass.AssocFile.PEF
.pgm, ImageGlass.AssocFile.PGM
.png, ImageGlass.AssocFile.PNG
.ppm, ImageGlass.AssocFile.PPM
.psb, ImageGlass.AssocFile.PSB
.psd, ImageGlass.AssocFile.PSD
.ptx, ImageGlass.AssocFile.PTX
.pxn, ImageGlass.AssocFile.PXN
.r3d, ImageGlass.AssocFile.R3D
.raf, ImageGlass.AssocFile.RAF
.raw, ImageGlass.AssocFile.RAW
.rw2, ImageGlass.AssocFile.RW2
.rwl, ImageGlass.AssocFile.RWL
.rwz, ImageGlass.AssocFile.RWZ
.sr2, ImageGlass.AssocFile.SR2
.srf, ImageGlass.AssocFile.SRF
.srw, ImageGlass.AssocFile.SRW
.svg, ImageGlass.AssocFile.SVG
.tga, ImageGlass.AssocFile.TGA
.tif, ImageGlass.AssocFile.TIF
.tiff, ImageGlass.AssocFile.TIFF
.wdp, ImageGlass.AssocFile.WDP
.webp, ImageGlass.AssocFile.WEBP
.wpg, ImageGlass.AssocFile.WPG
.x3f, ImageGlass.AssocFile.X3F
.xbm, ImageGlass.AssocFile.XBM
